Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,Epoch,Train_Loss,Validation_Loss,Time,Test_Loss
Audio_MNIST,AE_loss_values,0,28,28,0.0001,256,500,Sigmoid(),Sigmoid(),1,0.21175012425581613,0.12317383138338725,0.9637041091918945,0.0007090689888379227
Audio_MNIST,AE_loss_values,0,28,28,0.0001,256,500,Sigmoid(),Sigmoid(),2,0.03259855735301971,0.0026923156231641768,0.9573178291320801,0.0007090689888379227
Audio_MNIST,AE_loss_values,0,28,28,0.0001,256,500,Sigmoid(),Sigmoid(),3,0.0009915533610619605,0.001248267125338316,0.9545316696166992,0.0007090689888379227
Audio_MNIST,AE_loss_values,0,28,28,0.0001,256,500,Sigmoid(),Sigmoid(),4,0.00042747867937820654,0.0011194574392866343,0.9511973857879639,0.0007090689888379227
Audio_MNIST,AE_loss_values,0,28,28,0.0001,256,500,Sigmoid(),Sigmoid(),5,0.00034484546491876243,0.0010944157618408403,0.9499871730804443,0.0007090689888379227
Audio_MNIST,AE_loss_values,0,28,28,0.0001,256,500,Sigmoid(),Sigmoid(),6,0.00032392634179753563,0.0010891731842420996,0.9527015686035156,0.0007090689888379227
Audio_MNIST,AE_loss_values,0,28,28,0.0001,256,500,Sigmoid(),Sigmoid(),7,0.00031612565690496315,0.0010883364541611324,1.0180773735046387,0.0007090689888379227
Audio_MNIST,AE_loss_values,0,28,28,0.0001,256,500,Sigmoid(),Sigmoid(),8,0.0003126565699155132,0.0010854104685907562,0.9678072929382324,0.0007090689888379227
Audio_MNIST,AE_loss_values,0,28,28,0.0001,256,500,Sigmoid(),Sigmoid(),9,0.0003100296442474549,0.001081413898151368,0.9709899425506592,0.0007090689888379227
Audio_MNIST,AE_loss_values,0,28,28,0.0001,256,500,Sigmoid(),Sigmoid(),10,0.00030712959019001573,0.0010757793155498803,0.9695420265197754,0.0007090689888379227
Audio_MNIST,AE_loss_values,0,28,28,0.0001,256,500,Sigmoid(),Sigmoid(),11,0.0003036617123289034,0.0010674203070811926,0.9712250232696533,0.0007090689888379227
