Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,Epoch,Train_Loss,Validation_Loss,Time,Test_Loss
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),1,0.06515788279453406,0.05988472477145439,0.030025720596313477,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),2,0.06272163152110609,0.0575464688459017,0.013727426528930664,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),3,0.06039749554535858,0.055284249657479516,0.013678789138793945,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),4,0.05816080249716938,0.0531388588086532,0.013721227645874023,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),5,0.056059994489470716,0.051128841283982686,0.013705015182495117,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),6,0.05408050911458601,0.04926774199426609,0.013696908950805664,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),7,0.05223734912173033,0.047536737727422784,0.01372385025024414,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),8,0.05055149194997555,0.045977583440550925,0.013779640197753906,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),9,0.049044219958668096,0.044593869388973625,0.013704538345336914,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),10,0.04767327817494802,0.04336041331726269,0.013681411743164062,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),11,0.04643613438961608,0.04223731157444689,0.013709306716918945,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),12,0.04534973701294053,0.04126560089796999,0.013726949691772461,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),13,0.04440424344761326,0.040432722572862664,0.013721466064453125,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),14,0.043593361376086034,0.03972119657173209,0.014170408248901367,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),15,0.04290253566807253,0.03910322742958138,0.014185667037963867,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),16,0.04231456619981972,0.03860342774512994,0.014126062393188477,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),17,0.04181421918280036,0.038188663712383185,0.01409769058227539,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),18,0.04141336909020719,0.037831416326391434,0.014088153839111328,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),19,0.04106555671966826,0.037540553001700526,0.014069795608520508,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),20,0.0407904074506099,0.03728313012606036,0.013708829879760742,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),21,0.04056085322863858,0.03710178991466978,0.01369166374206543,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),22,0.04037936141505607,0.03694398732461633,0.013738870620727539,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),23,0.04022585041990798,0.03679542388957347,0.013696908950805664,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),24,0.04009225501346936,0.03667133113872396,0.01371145248413086,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),25,0.0399873555148039,0.03658720027029949,0.013692855834960938,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),26,0.03989050177892937,0.03648887577391889,0.013662338256835938,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),27,0.039817871690584296,0.03638263965827705,0.013653278350830078,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),28,0.03973799486837283,0.03633556750188344,0.01369333267211914,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),29,0.039681497015527624,0.03631794697394336,0.013746261596679688,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),30,0.03962685880926162,0.03625221486563665,0.013740062713623047,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),31,0.03957634718041042,0.03623153111577904,0.01369023323059082,0.006569481427794782
BankNote_Authentication,AE_loss_values,3,0.001,64,500,Sigmoid(),Sigmoid(),32,0.03953541156818026,0.03615071960337406,0.013640403747558594,0.006569481427794782
