Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,1,2.2961454497774443,2.2844711585839588,0.09625,0.10466666666666667,239.57876181602478,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,2,2.2866811960935594,2.2791601649920143,0.099,0.105,247.19690775871277,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,3,2.2831770945092043,2.2764201990763344,0.12341666666666666,0.156,239.83135151863098,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,4,2.281217401723067,2.27438237229983,0.149125,0.17366666666666666,239.41284656524658,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,5,2.2798351105550925,2.272835199435552,0.166625,0.19233333333333333,240.3968472480774,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,6,2.278781528870265,2.2716262968381247,0.16970833333333332,0.194,240.07054591178894,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,7,2.2779372589290143,2.2705539119243623,0.16429166666666667,0.189,249.74224281311035,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,8,2.277208936413129,2.2696298110485076,0.15870833333333334,0.18666666666666668,241.78474640846252,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,9,2.276556905011336,2.2687999220689137,0.155875,0.19033333333333333,239.2901210784912,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,10,2.2759228892127674,2.2679128690560657,0.157625,0.18966666666666668,239.5104944705963,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,11,2.275277508397897,2.267050933837891,0.15783333333333333,0.18866666666666668,239.50290989875793,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,12,2.2745770499606928,2.2661985146999357,0.15708333333333332,0.18466666666666667,246.88937163352966,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,13,2.2737582538525265,2.265193371772766,0.15854166666666666,0.18333333333333332,239.07932710647583,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,14,2.272776434421539,2.2638605320453644,0.15983333333333333,0.18466666666666667,239.37240958213806,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,15,2.271585271855195,2.2623550236225127,0.162375,0.19,239.64148497581482,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,16,2.2702155003448325,2.260756865342458,0.17166666666666666,0.205,239.52755856513977,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,17,2.2687539399663605,2.259048624038696,0.19045833333333334,0.21933333333333332,251.84838104248047,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,18,2.2672724261383217,2.257288814385732,0.208,0.23266666666666666,239.50994682312012,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,19,2.265784335086743,2.2555305417378744,0.223,0.239,239.79813957214355,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,20,2.2642804562548795,2.2536815083026887,0.228625,0.23166666666666666,239.82365775108337,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,21,2.2627646751205126,2.2517421809832254,0.22670833333333335,0.226,239.5339801311493,2.2415155730644862,0.25566666666666665
