Dataset,List Name,SEED,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,1,0.5950247842611349,0.5605269220188587,0.7219690063810392,0.8175182481751825,2.9439308643341064,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,2,0.586347997894913,0.5559909530799755,0.7611668185961714,0.8321167883211679,2.91314959526062,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,3,0.5795779277382923,0.5491190278617135,0.7748404740200547,0.8467153284671532,2.8803653717041016,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,4,0.5724471781942773,0.5447265860373086,0.7793983591613491,0.8613138686131386,2.851968288421631,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,5,0.5652250146583306,0.5326955251015015,0.7921604375569735,0.8394160583941606,2.7835049629211426,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,6,0.5572688720284968,0.5367809107703884,0.773017319963537,0.8759124087591241,2.8514277935028076,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,7,0.551857859249428,0.5230430455973548,0.7912488605287147,0.8540145985401459,2.7810113430023193,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,8,0.5456611940071815,0.5177100368224792,0.7839562443026435,0.8540145985401459,2.8704495429992676,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,9,0.5407282436502556,0.5131290407076369,0.7748404740200547,0.8394160583941606,2.8822128772735596,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,10,0.5368132329084924,0.5080747086636341,0.7775752051048314,0.8467153284671532,2.892442226409912,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,11,0.5339766577796276,0.5052071183267302,0.7766636280765725,0.8394160583941606,2.85653018951416,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,12,0.5320224606567008,0.5053003523906652,0.7812215132178669,0.8394160583941606,2.787230968475342,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,13,0.5305562961775276,0.5051290138359488,0.7793983591613491,0.8394160583941606,2.843109369277954,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,14,0.5296930530284248,0.5063166102788744,0.7830446672743847,0.8321167883211679,2.784956932067871,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,15,0.5289185571474929,0.5042593150678343,0.7866909753874203,0.8248175182481752,2.8450207710266113,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,16,0.5285217969550148,0.5044724976059294,0.7885141294439381,0.8248175182481752,2.847851037979126,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,17,0.5284137531856895,0.5042763754834224,0.7885141294439381,0.8248175182481752,2.7845799922943115,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,18,0.528006942655786,0.5078085950256264,0.7857793983591613,0.8248175182481752,2.844470262527466,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,19,0.5278527472056143,0.5056016891107072,0.7885141294439381,0.8248175182481752,2.8482117652893066,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,20,0.527753416771441,0.5079286105006281,0.7921604375569735,0.8175182481751825,2.7857654094696045,0.5215496947799904,0.7681159420289855
BankNote_Authentication,VQC_angle_list,3,0.1,128,500,Sigmoid(),Sigmoid(),3,0.001,5,100,6,21,0.5278637580091342,0.5083167455057158,0.7885141294439381,0.8175182481751825,2.8849732875823975,0.5215496947799904,0.7681159420289855
