Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,1,2.1835544332365195,2.1838921876748403,0.24625,0.262,234.8796203136444,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,2,2.1668953278660776,2.1788557875156402,0.25083333333333335,0.316,233.85357189178467,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,3,2.1618443317463,2.1750391139586767,0.253125,0.283,234.6338291168213,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,4,2.161338254759709,2.1670730018615725,0.2435,0.22366666666666668,236.52740693092346,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,5,2.1600905970235664,2.1733557786544164,0.242375,0.18266666666666667,240.81139516830444,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,6,2.160111302857598,2.1697603462139767,0.24325,0.235,234.78167581558228,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,7,2.1604310891528926,2.1651112029949826,0.24408333333333335,0.2956666666666667,234.08797073364258,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,8,2.1599255550156036,2.167753888964653,0.24741666666666667,0.21633333333333332,234.41160607337952,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,9,2.159776698872447,2.174863309065501,0.24891666666666667,0.23866666666666667,234.52447509765625,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,10,2.1600860991577306,2.1635818801323574,0.24758333333333332,0.2786666666666667,233.9424455165863,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,11,2.1599223019679386,2.174405029217402,0.24733333333333332,0.294,253.84905552864075,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,12,2.160376597866416,2.1734536852439246,0.24891666666666667,0.25166666666666665,234.00898218154907,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,13,2.1597811479866507,2.1734113560120263,0.244,0.24866666666666667,234.66290426254272,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,14,2.1602060717840987,2.169353058934212,0.24233333333333335,0.20133333333333334,233.85207080841064,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,15,2.160160949031512,2.1761911396185556,0.24408333333333335,0.24533333333333332,234.26869297027588,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,16,2.15962926355501,2.180450652043025,0.24745833333333334,0.30633333333333335,242.67252039909363,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,17,2.159961631670594,2.1752542676528295,0.24483333333333332,0.31833333333333336,233.97722840309143,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,18,2.160141361852487,2.1917680114507676,0.24325,0.3333333333333333,234.42018747329712,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,19,2.160351649150252,2.177746295928955,0.24566666666666667,0.24133333333333334,236.7115879058838,2.1868243137995402,0.24666666666666667
Audio_MNIST,VQC_amplitude_list,2,28,28,0.001,128,500,Sigmoid(),Sigmoid(),2,28,28,0.1,5,50,6,20,2.1603853728373847,2.1660727431376774,0.24620833333333333,0.29233333333333333,234.04915142059326,2.1868243137995402,0.24666666666666667
