Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,1,2.2961454497774443,2.2844711585839588,0.09625,0.10466666666666667,238.61209440231323,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,2,2.2866811960935594,2.2791601649920143,0.099,0.105,240.3307032585144,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,3,2.2831770945092043,2.2764201990763344,0.12341666666666666,0.156,239.27205610275269,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,4,2.281217401723067,2.27438237229983,0.149125,0.17366666666666666,246.28025770187378,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,5,2.2798351105550925,2.272835199435552,0.166625,0.19233333333333333,244.3126425743103,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,6,2.278781528870265,2.2716262968381247,0.16970833333333332,0.194,239.6207194328308,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,7,2.2779372589290143,2.2705539119243623,0.16429166666666667,0.189,240.20017385482788,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,8,2.277208936413129,2.2696298110485076,0.15870833333333334,0.18666666666666668,239.1105751991272,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,9,2.276556905011336,2.2687999220689137,0.155875,0.19033333333333333,251.9540491104126,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,10,2.2759228892127674,2.2679128690560657,0.157625,0.18966666666666668,241.93565678596497,2.2415155730644862,0.25566666666666665
Audio_MNIST,VQC_angle_list,4,28,28,0.001,128,500,Sigmoid(),Sigmoid(),4,28,28,0.001,5,50,6,11,2.275277508397897,2.267050933837891,0.15783333333333333,0.18866666666666668,239.2927429676056,2.2415155730644862,0.25566666666666665
