Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,1,2.24164768114686,2.2342493855953216,0.19170833333333334,0.15766666666666668,234.22663402557373,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,2,2.203340000063181,2.2238906498750053,0.212375,0.17266666666666666,241.79096627235413,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,3,2.188762259284655,2.217184631029765,0.23983333333333334,0.196,239.5488359928131,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,4,2.1832494568328062,2.2183550465106965,0.24591666666666667,0.186,234.6556031703949,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,5,2.179623341783881,2.2122629284858704,0.2544166666666667,0.195,234.84750819206238,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,6,2.170707367286086,2.2030979033311207,0.272375,0.21333333333333335,234.60820126533508,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,7,2.166690543020765,2.2006469972928366,0.27841666666666665,0.22066666666666668,244.31027746200562,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,8,2.1655930404365065,2.1999105417728426,0.280125,0.22166666666666668,234.3841519355774,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,9,2.164937087992827,2.1990411472320557,0.282375,0.22366666666666668,234.5843563079834,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,10,2.164317801371217,2.1996056336164473,0.28175,0.22,234.96054077148438,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,11,2.1641135360548893,2.1989645385742187,0.2813333333333333,0.22833333333333333,234.52575635910034,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,12,2.1639248580733934,2.197606464624405,0.27970833333333334,0.227,241.69078540802002,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,13,2.1636263195673626,2.1986798731486004,0.28070833333333334,0.22866666666666666,234.47836112976074,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,14,2.163623795757691,2.1977856338024138,0.280125,0.23066666666666666,234.5158929824829,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,15,2.1635363680372635,2.197458115418752,0.2793333333333333,0.232,235.59680342674255,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,16,2.1633442626645167,2.198473543524742,0.277625,0.228,234.4062807559967,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,17,2.163309611255924,2.1983215280373893,0.280875,0.228,241.94726634025574,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,18,2.1631973271568614,2.1988209346930185,0.28075,0.22633333333333333,239.83648347854614,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,19,2.1631031390776236,2.1982126959164936,0.2775,0.22733333333333333,234.6567783355713,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,20,2.163030430798729,2.1974444033702216,0.276125,0.23033333333333333,235.25272393226624,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,21,2.1629735578844946,2.196612226764361,0.28020833333333334,0.23333333333333334,234.56576704978943,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,22,2.162948047692577,2.1975995365778607,0.27675,0.23166666666666666,242.88952207565308,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,23,2.162865827307105,2.1975190937519073,0.277875,0.241,235.34557938575745,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,24,2.162750021914641,2.197224870920181,0.27741666666666664,0.235,234.59276413917542,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,25,2.162704855054617,2.1972015651067096,0.277375,0.233,235.3261866569519,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,26,2.162636357968052,2.19822706302007,0.27570833333333333,0.22366666666666668,235.2096869945526,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,27,2.162641347323855,2.1963985707362492,0.271625,0.233,241.18069005012512,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,28,2.162450794354081,2.1977307333548866,0.27858333333333335,0.221,236.19643425941467,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,29,2.162482068488995,2.196691617965698,0.26958333333333334,0.23166666666666666,235.23096704483032,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,30,2.1624546781927347,2.1987105445067088,0.278125,0.225,234.92810726165771,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,31,2.162373958279689,2.197822125752767,0.271375,0.241,235.0144169330597,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,32,2.162398125405113,2.1975810110569,0.2700416666666667,0.235,235.16071248054504,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,33,2.162294810762008,2.1968452727794645,0.27375,0.22933333333333333,240.83915209770203,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,34,2.1622597174098095,2.1975129093726475,0.2674166666666667,0.24433333333333335,234.5522768497467,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,35,2.1622143262873093,2.19634404083093,0.274375,0.236,234.77062702178955,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,36,2.162158756827315,2.198285211920738,0.2692083333333333,0.23666666666666666,234.6316113471985,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,37,2.162190407142043,2.1975139131148658,0.271625,0.23833333333333334,236.6138141155243,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,38,2.1621058066685994,2.196788424650828,0.27129166666666665,0.23633333333333334,244.47998666763306,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,39,2.1620564782371123,2.198816924492518,0.27320833333333333,0.222,234.27518582344055,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,40,2.1620963369309902,2.1988273121913275,0.26625,0.23733333333333334,234.89903664588928,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,41,2.1621162088215353,2.1969566837946575,0.274,0.237,234.44435214996338,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,42,2.162027473424872,2.197407200137774,0.2682083333333333,0.23133333333333334,234.43069911003113,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,43,2.161976976369818,2.1979837850729624,0.273625,0.224,241.30685472488403,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,44,2.1619870282461244,2.1970658693710963,0.26945833333333336,0.227,234.496484041214,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,45,2.1619739183038473,2.197133637666702,0.2703333333333333,0.23033333333333333,234.56782221794128,2.192924125989278,0.24566666666666667
Audio_MNIST,VQC_amplitude_list,1,28,28,0.001,128,500,Sigmoid(),Sigmoid(),1,28,28,0.01,5,50,6,46,2.1619681140780447,2.1983758344252906,0.27020833333333333,0.23066666666666666,234.17412495613098,2.192924125989278,0.24566666666666667
