Dataset,List Name,SEED,DIM_1,DIM_2,AE_LEARNING_RATE,AE_BATCH_SIZE,AE_EPOCHS,AE_ENCODER_ACTIVATION_FN,AE_DECODER_ACTIVATION_FN,SEED,DIM_1,DIM_2,LEARNING_RATE,BATCH_SIZE,EPOCHS,LAYERS,Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Time,Test_Loss,Test_Accuracy
Audio_MNIST,VQC_angle_list,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),5,28,28,0.001,5,50,6,1,2.314246427367131,2.3102063234647114,0.097625,0.107,238.68664145469666,2.245897212425868,0.2823333333333333
Audio_MNIST,VQC_angle_list,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),5,28,28,0.001,5,50,6,2,2.3051941067973774,2.3038999017079673,0.09966666666666667,0.09166666666666666,239.48190593719482,2.245897212425868,0.2823333333333333
Audio_MNIST,VQC_angle_list,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),5,28,28,0.001,5,50,6,3,2.3011311222116153,2.2997577365239463,0.08808333333333333,0.1,239.13392090797424,2.245897212425868,0.2823333333333333
Audio_MNIST,VQC_angle_list,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),5,28,28,0.001,5,50,6,4,2.298575012087822,2.2963498504956563,0.1075,0.12066666666666667,251.53809690475464,2.245897212425868,0.2823333333333333
Audio_MNIST,VQC_angle_list,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),5,28,28,0.001,5,50,6,5,2.2963827807704607,2.293045448859533,0.11683333333333333,0.11933333333333333,239.1582715511322,2.245897212425868,0.2823333333333333
Audio_MNIST,VQC_angle_list,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),5,28,28,0.001,5,50,6,6,2.2940816510717075,2.289644728899002,0.11675,0.121,240.57712030410767,2.245897212425868,0.2823333333333333
Audio_MNIST,VQC_angle_list,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),5,28,28,0.001,5,50,6,7,2.291585901280244,2.286073730389277,0.11779166666666667,0.122,240.06413435935974,2.245897212425868,0.2823333333333333
Audio_MNIST,VQC_angle_list,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),5,28,28,0.001,5,50,6,8,2.2889225755631926,2.2823334709803262,0.120875,0.12866666666666668,239.6361587047577,2.245897212425868,0.2823333333333333
Audio_MNIST,VQC_angle_list,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),5,28,28,0.001,5,50,6,9,2.285908984442552,2.277615156173706,0.12545833333333334,0.14833333333333334,251.69379019737244,2.245897212425868,0.2823333333333333
Audio_MNIST,VQC_angle_list,5,28,28,0.001,128,500,Sigmoid(),Sigmoid(),5,28,28,0.001,5,50,6,10,2.2819013995925586,2.271247673034668,0.138875,0.166,240.09153771400452,2.245897212425868,0.2823333333333333
