Model;Accuracy
NN_with_compressed_input_testing_list;0,9122807
NN_with_compressed_input_testing_list;0,94736842
NN_with_compressed_input_testing_list;0,9122807
NN_with_compressed_input_testing_list;1
NN_with_compressed_input_testing_list;0,63157895
NN_with_compressed_input_testing_list;0,52631579
NN_with_compressed_input_testing_list;0,94736842
NN_with_compressed_input_testing_list;0,94736842
NN_with_compressed_input_testing_list;0,63157895
NN_with_compressed_input_testing_list;0,7961
NN_with_compressed_input_testing_list;0,8995
NN_with_compressed_input_testing_list;0,753
NN_with_compressed_input_testing_list;0,8382
NN_with_compressed_input_testing_list;0,7536
NN_with_compressed_input_testing_list;0,8949
NN_with_compressed_input_testing_list;0,911
NN_with_compressed_input_testing_list;0,8532
NN_with_compressed_input_testing_list;0,7985
NN_with_compressed_input_testing_list;0,8098
NN_with_compressed_input_testing_list;0,319
NN_with_compressed_input_testing_list;0,312
NN_with_compressed_input_testing_list;0,26933333
NN_with_compressed_input_testing_list;0,23966667
NN_with_compressed_input_testing_list;0,31333333
NN_with_compressed_input_testing_list;0,26166667
NN_with_compressed_input_testing_list;0,30666667
NN_with_compressed_input_testing_list;0,35633333
NN_with_compressed_input_testing_list;0,26133333
NN_with_compressed_input_testing_list;0,344
NN_with_original_input_testing_list;0,98550725
NN_with_original_input_testing_list;0,99275362
NN_with_original_input_testing_list;1
NN_with_original_input_testing_list;0,98550725
NN_with_original_input_testing_list;1
NN_with_original_input_testing_list;0,98550725
NN_with_original_input_testing_list;1
NN_with_original_input_testing_list;1
NN_with_original_input_testing_list;0,96376812
NN_with_original_input_testing_list;0,99275362
NN_with_original_input_testing_list;0,96491228
NN_with_original_input_testing_list;0,98245614
NN_with_original_input_testing_list;1
NN_with_original_input_testing_list;0,89473684
NN_with_original_input_testing_list;1
NN_with_original_input_testing_list;0,98245614
NN_with_original_input_testing_list;0,96491228
NN_with_original_input_testing_list;0,98245614
NN_with_original_input_testing_list;0,98245614
NN_with_original_input_testing_list;0,98245614
NN_with_original_input_testing_list;0,9855
NN_with_original_input_testing_list;0,984
NN_with_original_input_testing_list;0,9863
NN_with_original_input_testing_list;0,9846
NN_with_original_input_testing_list;0,9861
NN_with_original_input_testing_list;0,9854
NN_with_original_input_testing_list;0,9862
NN_with_original_input_testing_list;0,9847
NN_with_original_input_testing_list;0,9844
NN_with_original_input_testing_list;0,9837
NN_with_original_input_testing_list;0,91166667
NN_with_original_input_testing_list;0,87266667
NN_with_original_input_testing_list;0,92933333
NN_with_original_input_testing_list;0,91766667
NN_with_original_input_testing_list;0,74866667
NN_with_original_input_testing_list;0,841
NN_with_original_input_testing_list;0,90066667
NN_with_original_input_testing_list;0,907
NN_with_original_input_testing_list;0,85266667
NN_with_original_input_testing_list;0,90533333
